ward,precinct,office,district,party,candidate,votes
6,89,President,,DEM,DENNIS J. KUCINICH ,3
6,89,President,,DEM,HILLARY CLINTON ,408
6,89,President,,DEM,BARACK OBAMA ,825
6,89,President,,DEM,UNCOMMITTED ,7
6,89,President,,DEM,Write-ins,0
6,89,President,,DEM,Total,1255
6,89,President,,REP,MIKE HUCKABEE ,52
6,89,President,,REP,MITT ROMNEY ,19
6,89,President,,REP,JOHN MCCAIN ,155
6,89,President,,REP,RON PAUL ,6
6,89,President,,REP,RUDY GIULIANI ,6
6,89,President,,REP,Total,238
6,90,President,,DEM,BILL RICHARDSON ,2
6,90,President,,DEM,JOHN EDWARDS ,3
6,90,President,,DEM,DENNIS J. KUCINICH ,0
6,90,President,,DEM,HILLARY CLINTON ,234
6,90,President,,DEM,BARACK OBAMA ,441
6,90,President,,DEM,UNCOMMITTED ,4
6,90,President,,DEM,Write-ins,1
6,90,President,,DEM,Total,685
6,90,President,,REP,MIKE HUCKABEE ,14
6,90,President,,REP,MITT ROMNEY ,3
6,90,President,,REP,JOHN MCCAIN ,51
6,90,President,,REP,RON PAUL ,1
6,90,President,,REP,RUDY GIULIANI ,2
6,90,President,,REP,Total,71
6,91,President,,DEM,BILL RICHARDSON ,0
6,91,President,,DEM,JOHN EDWARDS ,4
6,91,President,,DEM,DENNIS J. KUCINICH ,2
6,91,President,,DEM,HILLARY CLINTON ,323
6,91,President,,DEM,BARACK OBAMA ,971
6,91,President,,DEM,UNCOMMITTED ,6
6,91,President,,DEM,Write-ins,0
6,91,President,,DEM,Total,1306
6,91,President,,REP,MIKE HUCKABEE ,11
6,91,President,,REP,MITT ROMNEY ,6
6,91,President,,REP,JOHN MCCAIN ,47
6,91,President,,REP,RON PAUL ,11
6,91,President,,REP,RUDY GIULIANI ,1
6,91,President,,REP,Total,76
7,92,President,,DEM,BILL RICHARDSON ,0
7,92,President,,DEM,JOHN EDWARDS ,0
7,92,President,,DEM,DENNIS J. KUCINICH ,0
7,92,President,,DEM,HILLARY CLINTON ,68
7,92,President,,DEM,BARACK OBAMA ,441
7,92,President,,DEM,UNCOMMITTED ,2
7,92,President,,DEM,Write-ins,0
7,92,President,,DEM,Total,511
7,92,President,,REP,MIKE HUCKABEE ,0
7,92,President,,REP,MITT ROMNEY ,1
7,92,President,,REP,JOHN MCCAIN ,2
7,92,President,,REP,RON PAUL ,0
7,92,President,,REP,RUDY GIULIANI ,0
7,92,President,,REP,Total,3
7,93,President,,DEM,BILL RICHARDSON ,0
7,93,President,,DEM,JOHN EDWARDS ,1
7,93,President,,DEM,DENNIS J. KUCINICH ,0
7,93,President,,DEM,HILLARY CLINTON ,74
7,93,President,,DEM,BARACK OBAMA ,414
7,93,President,,DEM,UNCOMMITTED ,0
7,93,President,,DEM,Write-ins,0
7,93,President,,DEM,Total,489
7,93,President,,REP,MIKE HUCKABEE ,1
7,93,President,,REP,MITT ROMNEY ,0
7,93,President,,REP,JOHN MCCAIN ,1
7,93,President,,REP,RON PAUL ,0
7,93,President,,REP,RUDY GIULIANI ,0
7,93,President,,REP,Total,2
7,94,President,,DEM,BILL RICHARDSON ,0
7,94,President,,DEM,JOHN EDWARDS ,0
7,94,President,,DEM,DENNIS J. KUCINICH ,0
7,94,President,,DEM,HILLARY CLINTON ,116
7,94,President,,DEM,BARACK OBAMA ,453
7,94,President,,DEM,UNCOMMITTED ,1
7,94,President,,DEM,Write-ins,0
7,94,President,,DEM,Total,570
7,94,President,,REP,MIKE HUCKABEE ,3
7,94,President,,REP,MITT ROMNEY ,0
7,94,President,,REP,JOHN MCCAIN ,2
7,94,President,,REP,RON PAUL ,0
7,94,President,,REP,RUDY GIULIANI ,0
7,94,President,,REP,Total,5
7,95,President,,DEM,BILL RICHARDSON ,0
7,95,President,,DEM,JOHN EDWARDS ,3
7,95,President,,DEM,DENNIS J. KUCINICH ,1
7,95,President,,DEM,HILLARY CLINTON ,77
7,95,President,,DEM,BARACK OBAMA ,387
7,95,President,,DEM,UNCOMMITTED ,3
7,95,President,,DEM,Write-ins,0
7,95,President,,DEM,Total,471
7,95,President,,REP,MIKE HUCKABEE ,2
7,95,President,,REP,MITT ROMNEY ,0
7,95,President,,REP,JOHN MCCAIN ,0
7,95,President,,REP,RON PAUL ,0
7,95,President,,REP,RUDY GIULIANI ,0
7,95,President,,REP,Total,2
7,96,President,,DEM,BILL RICHARDSON ,0
7,96,President,,DEM,JOHN EDWARDS ,1
7,96,President,,DEM,DENNIS J. KUCINICH ,0
7,96,President,,DEM,HILLARY CLINTON ,92
7,96,President,,DEM,BARACK OBAMA ,542
7,96,President,,DEM,UNCOMMITTED ,2
7,96,President,,DEM,Write-ins,0
7,96,President,,DEM,Total,637
7,96,President,,REP,MIKE HUCKABEE ,0
7,96,President,,REP,MITT ROMNEY ,0
7,96,President,,REP,JOHN MCCAIN ,0
7,96,President,,REP,RON PAUL ,0
7,96,President,,REP,RUDY GIULIANI ,0
7,96,President,,REP,Total,0
7,97,President,,DEM,BILL RICHARDSON ,1
7,97,President,,DEM,JOHN EDWARDS ,1
7,97,President,,DEM,DENNIS J. KUCINICH ,0
7,97,President,,DEM,HILLARY CLINTON ,62
7,97,President,,DEM,BARACK OBAMA ,307
7,97,President,,DEM,UNCOMMITTED ,3
7,97,President,,DEM,Write-ins,0
7,97,President,,DEM,Total,374
7,97,President,,REP,MIKE HUCKABEE ,2
7,97,President,,REP,MITT ROMNEY ,1
7,97,President,,REP,JOHN MCCAIN ,3
7,97,President,,REP,RON PAUL ,0
7,97,President,,REP,RUDY GIULIANI ,0
7,97,President,,REP,Total,6
7,98,President,,DEM,BILL RICHARDSON ,0
7,98,President,,DEM,JOHN EDWARDS ,0
7,98,President,,DEM,DENNIS J. KUCINICH ,1
7,98,President,,DEM,HILLARY CLINTON ,75
7,98,President,,DEM,BARACK OBAMA ,539
7,98,President,,DEM,UNCOMMITTED ,0
7,98,President,,DEM,Write-ins,0
7,98,President,,DEM,Total,615
7,98,President,,REP,MIKE HUCKABEE ,3
7,98,President,,REP,MITT ROMNEY ,0
7,98,President,,REP,JOHN MCCAIN ,2
7,98,President,,REP,RON PAUL ,0
7,98,President,,REP,RUDY GIULIANI ,0
7,98,President,,REP,Total,5
7,99,President,,DEM,BILL RICHARDSON ,0
7,99,President,,DEM,JOHN EDWARDS ,2
7,99,President,,DEM,DENNIS J. KUCINICH ,1
7,99,President,,DEM,HILLARY CLINTON ,66
7,99,President,,DEM,BARACK OBAMA ,357
7,99,President,,DEM,UNCOMMITTED ,3
7,99,President,,DEM,Write-ins,0
7,99,President,,DEM,Total,429
7,99,President,,REP,MIKE HUCKABEE ,1
7,99,President,,REP,MITT ROMNEY ,0
7,99,President,,REP,JOHN MCCAIN ,2
7,99,President,,REP,RON PAUL ,2
7,99,President,,REP,RUDY GIULIANI ,0
7,99,President,,REP,Total,5
7,100,President,,DEM,BILL RICHARDSON ,1
7,100,President,,DEM,JOHN EDWARDS ,1
7,100,President,,DEM,DENNIS J. KUCINICH ,0
7,100,President,,DEM,HILLARY CLINTON ,80
7,100,President,,DEM,BARACK OBAMA ,416
7,100,President,,DEM,UNCOMMITTED ,1
7,100,President,,DEM,Write-ins,0
7,100,President,,DEM,Total,499
7,100,President,,REP,MIKE HUCKABEE ,2
7,100,President,,REP,MITT ROMNEY ,0
7,100,President,,REP,JOHN MCCAIN ,0
7,100,President,,REP,RON PAUL ,0
7,100,President,,REP,RUDY GIULIANI ,0
7,100,President,,REP,Total,2
7,101,President,,DEM,BILL RICHARDSON ,0
7,101,President,,DEM,JOHN EDWARDS ,2
7,101,President,,DEM,DENNIS J. KUCINICH ,1
7,101,President,,DEM,HILLARY CLINTON ,88
7,101,President,,DEM,BARACK OBAMA ,591
7,101,President,,DEM,UNCOMMITTED ,3
7,101,President,,DEM,Write-ins,0
7,101,President,,DEM,Total,685
7,101,President,,REP,MIKE HUCKABEE ,1
7,101,President,,REP,MITT ROMNEY ,0
7,101,President,,REP,JOHN MCCAIN ,3
7,101,President,,REP,RON PAUL ,2
7,101,President,,REP,RUDY GIULIANI ,0
7,101,President,,REP,Total,6
7,102,President,,DEM,BILL RICHARDSON ,0
7,102,President,,DEM,JOHN EDWARDS ,4
7,102,President,,DEM,DENNIS J. KUCINICH ,1
7,102,President,,DEM,HILLARY CLINTON ,107
7,102,President,,DEM,BARACK OBAMA ,625
7,102,President,,DEM,UNCOMMITTED ,0
7,102,President,,DEM,Write-ins,0
7,102,President,,DEM,Total,737
7,102,President,,REP,MIKE HUCKABEE ,2
7,102,President,,REP,MITT ROMNEY ,0
7,102,President,,REP,JOHN MCCAIN ,0
7,102,President,,REP,RON PAUL ,1
7,102,President,,REP,RUDY GIULIANI ,0
7,102,President,,REP,Total,3
7,103,President,,DEM,BILL RICHARDSON ,1
7,103,President,,DEM,JOHN EDWARDS ,1
7,103,President,,DEM,DENNIS J. KUCINICH ,0
7,103,President,,DEM,HILLARY CLINTON ,147
7,103,President,,DEM,BARACK OBAMA ,909
7,103,President,,DEM,UNCOMMITTED ,6
7,103,President,,DEM,Write-ins,0
7,103,President,,DEM,Total,1064
7,103,President,,REP,MIKE HUCKABEE ,2
7,103,President,,REP,MITT ROMNEY ,0
7,103,President,,REP,JOHN MCCAIN ,2
7,103,President,,REP,RON PAUL ,0
7,103,President,,REP,RUDY GIULIANI ,0
7,103,President,,REP,Total,4
7,104,President,,DEM,BILL RICHARDSON ,0
7,104,President,,DEM,JOHN EDWARDS ,3
7,104,President,,DEM,DENNIS J. KUCINICH ,0
7,104,President,,DEM,HILLARY CLINTON ,97
7,104,President,,DEM,BARACK OBAMA ,541
7,104,President,,DEM,UNCOMMITTED ,4
7,104,President,,DEM,Write-ins,0
7,104,President,,DEM,Total,645
7,104,President,,REP,MIKE HUCKABEE ,1
7,104,President,,REP,MITT ROMNEY ,1
7,104,President,,REP,JOHN MCCAIN ,5
7,104,President,,REP,RON PAUL ,0
7,104,President,,REP,RUDY GIULIANI ,0
7,104,President,,REP,Total,7
7,105,President,,DEM,BILL RICHARDSON ,0
7,105,President,,DEM,JOHN EDWARDS ,0
7,105,President,,DEM,DENNIS J. KUCINICH ,0
7,105,President,,DEM,HILLARY CLINTON ,79
7,105,President,,DEM,BARACK OBAMA ,571
7,105,President,,DEM,UNCOMMITTED ,1
7,105,President,,DEM,Write-ins,2
7,105,President,,DEM,Total,653
7,105,President,,REP,MIKE HUCKABEE ,4
7,105,President,,REP,MITT ROMNEY ,0
7,105,President,,REP,JOHN MCCAIN ,0
7,105,President,,REP,RON PAUL ,0
7,105,President,,REP,RUDY GIULIANI ,0
7,105,President,,REP,Total,4
7,106,President,,DEM,BILL RICHARDSON ,1
7,106,President,,DEM,JOHN EDWARDS ,1
7,106,President,,DEM,DENNIS J. KUCINICH ,0
7,106,President,,DEM,HILLARY CLINTON ,165
7,106,President,,DEM,BARACK OBAMA ,855
7,106,President,,DEM,UNCOMMITTED ,5
7,106,President,,DEM,Write-ins,1
7,106,President,,DEM,Total,1028
7,106,President,,REP,MIKE HUCKABEE ,8
7,106,President,,REP,MITT ROMNEY ,1
7,106,President,,REP,JOHN MCCAIN ,2
7,106,President,,REP,RON PAUL ,1
7,106,President,,REP,RUDY GIULIANI ,0
7,106,President,,REP,Total,12
7,107,President,,DEM,BILL RICHARDSON ,0
7,107,President,,DEM,JOHN EDWARDS ,0
7,107,President,,DEM,DENNIS J. KUCINICH ,0
7,107,President,,DEM,HILLARY CLINTON ,45
7,107,President,,DEM,BARACK OBAMA ,335
7,107,President,,DEM,UNCOMMITTED ,0
7,107,President,,DEM,Write-ins,0
7,107,President,,DEM,Total,380
7,107,President,,REP,MIKE HUCKABEE ,1
7,107,President,,REP,MITT ROMNEY ,0
7,107,President,,REP,JOHN MCCAIN ,1
7,107,President,,REP,RON PAUL ,1
7,107,President,,REP,RUDY GIULIANI ,0
7,107,President,,REP,Total,3
7,108,President,,DEM,BILL RICHARDSON ,0
7,108,President,,DEM,JOHN EDWARDS ,0
7,108,President,,DEM,DENNIS J. KUCINICH ,0
7,108,President,,DEM,HILLARY CLINTON ,67
7,108,President,,DEM,BARACK OBAMA ,524
7,108,President,,DEM,UNCOMMITTED ,1
7,108,President,,DEM,Write-ins,2
7,108,President,,DEM,Total,594
7,108,President,,REP,MIKE HUCKABEE ,8
7,108,President,,REP,MITT ROMNEY ,0
7,108,President,,REP,JOHN MCCAIN ,2
7,108,President,,REP,RON PAUL ,1
7,108,President,,REP,RUDY GIULIANI ,0
7,108,President,,REP,Total,11
7,109,President,,DEM,BILL RICHARDSON ,0
7,109,President,,DEM,JOHN EDWARDS ,1
7,109,President,,DEM,DENNIS J. KUCINICH ,0
7,109,President,,DEM,HILLARY CLINTON ,75
7,109,President,,DEM,BARACK OBAMA ,435
7,109,President,,DEM,UNCOMMITTED ,2
7,109,President,,DEM,Write-ins,0
7,109,President,,DEM,Total,513
7,109,President,,REP,MIKE HUCKABEE ,2
7,109,President,,REP,MITT ROMNEY ,1
7,109,President,,REP,JOHN MCCAIN ,3
7,109,President,,REP,RON PAUL ,2
7,109,President,,REP,RUDY GIULIANI ,1
7,109,President,,REP,Total,9
7,110,President,,DEM,BILL RICHARDSON ,0
7,110,President,,DEM,JOHN EDWARDS ,4
7,110,President,,DEM,DENNIS J. KUCINICH ,0
7,110,President,,DEM,HILLARY CLINTON ,215
7,110,President,,DEM,BARACK OBAMA ,1421
7,110,President,,DEM,UNCOMMITTED ,7
7,110,President,,DEM,Write-ins,2
7,110,President,,DEM,Total,1649
7,110,President,,REP,MIKE HUCKABEE ,4
7,110,President,,REP,MITT ROMNEY ,1
7,110,President,,REP,JOHN MCCAIN ,5
7,110,President,,REP,RON PAUL ,2
7,110,President,,REP,RUDY GIULIANI ,1
7,110,President,,REP,Total,13
7,111,President,,DEM,BILL RICHARDSON ,0
7,111,President,,DEM,JOHN EDWARDS ,1
7,111,President,,DEM,DENNIS J. KUCINICH ,1
7,111,President,,DEM,HILLARY CLINTON ,101
7,111,President,,DEM,BARACK OBAMA ,608
7,111,President,,DEM,UNCOMMITTED ,4
7,111,President,,DEM,Write-ins,1
7,111,President,,DEM,Total,716
7,111,President,,REP,MIKE HUCKABEE ,4
7,111,President,,REP,MITT ROMNEY ,0
7,111,President,,REP,JOHN MCCAIN ,6
7,111,President,,REP,RON PAUL ,0
7,111,President,,REP,RUDY GIULIANI ,0
7,111,President,,REP,Total,10
7,112,President,,DEM,BILL RICHARDSON ,0
7,112,President,,DEM,JOHN EDWARDS ,0
7,112,President,,DEM,DENNIS J. KUCINICH ,0
7,112,President,,DEM,HILLARY CLINTON ,84
7,112,President,,DEM,BARACK OBAMA ,513
7,112,President,,DEM,UNCOMMITTED ,0
7,112,President,,DEM,Write-ins,2
7,112,President,,DEM,Total,599
7,112,President,,REP,MIKE HUCKABEE ,2
7,112,President,,REP,MITT ROMNEY ,1
7,112,President,,REP,JOHN MCCAIN ,3
7,112,President,,REP,RON PAUL ,1
7,112,President,,REP,RUDY GIULIANI ,0
7,112,President,,REP,Total,7
7,113,President,,DEM,BILL RICHARDSON ,2
7,113,President,,DEM,JOHN EDWARDS ,3
7,113,President,,DEM,DENNIS J. KUCINICH ,3
7,113,President,,DEM,HILLARY CLINTON ,125
7,113,President,,DEM,BARACK OBAMA ,858
7,113,President,,DEM,UNCOMMITTED ,6
7,113,President,,DEM,Write-ins,2
7,113,President,,DEM,Total,999
7,113,President,,REP,MIKE HUCKABEE ,4
7,113,President,,REP,MITT ROMNEY ,1
7,113,President,,REP,JOHN MCCAIN ,9
7,113,President,,REP,RON PAUL ,0
7,113,President,,REP,RUDY GIULIANI ,1
7,113,President,,REP,Total,15
8,114,President,,DEM,BILL RICHARDSON ,0
8,114,President,,DEM,JOHN EDWARDS ,0
8,114,President,,DEM,DENNIS J. KUCINICH ,0
8,114,President,,DEM,HILLARY CLINTON ,107
8,114,President,,DEM,BARACK OBAMA ,663
8,114,President,,DEM,UNCOMMITTED ,3
8,114,President,,DEM,Write-ins,0
8,114,President,,DEM,Total,773
8,114,President,,REP,MIKE HUCKABEE ,4
8,114,President,,REP,MITT ROMNEY ,1
8,114,President,,REP,JOHN MCCAIN ,6
8,114,President,,REP,RON PAUL ,0
8,114,President,,REP,RUDY GIULIANI ,0
8,114,President,,REP,Total,11
8,115,President,,DEM,BILL RICHARDSON ,0
8,115,President,,DEM,JOHN EDWARDS ,3
8,115,President,,DEM,DENNIS J. KUCINICH ,0
8,115,President,,DEM,HILLARY CLINTON ,80
8,115,President,,DEM,BARACK OBAMA ,493
8,115,President,,DEM,UNCOMMITTED ,1
8,115,President,,DEM,Write-ins,1
8,115,President,,DEM,Total,578
8,115,President,,REP,MIKE HUCKABEE ,2
8,115,President,,REP,MITT ROMNEY ,0
8,115,President,,REP,JOHN MCCAIN ,1
8,115,President,,REP,RON PAUL ,0
8,115,President,,REP,RUDY GIULIANI ,0
8,115,President,,REP,Total,3
8,116,President,,DEM,BILL RICHARDSON ,1
8,116,President,,DEM,JOHN EDWARDS ,2
8,116,President,,DEM,DENNIS J. KUCINICH ,1
8,116,President,,DEM,HILLARY CLINTON ,114
8,116,President,,DEM,BARACK OBAMA ,714
8,116,President,,DEM,UNCOMMITTED ,2
8,116,President,,DEM,Write-ins,0
8,116,President,,DEM,Total,834
8,116,President,,REP,MIKE HUCKABEE ,3
8,116,President,,REP,MITT ROMNEY ,0
8,116,President,,REP,JOHN MCCAIN ,1
8,116,President,,REP,RON PAUL ,0
8,116,President,,REP,RUDY GIULIANI ,1
8,116,President,,REP,Total,5
8,117,President,,DEM,BILL RICHARDSON ,1
8,117,President,,DEM,JOHN EDWARDS ,0
8,117,President,,DEM,DENNIS J. KUCINICH ,0
8,117,President,,DEM,HILLARY CLINTON ,56
8,117,President,,DEM,BARACK OBAMA ,375
8,117,President,,DEM,UNCOMMITTED ,1
8,117,President,,DEM,Write-ins,0
8,117,President,,DEM,Total,433
8,117,President,,REP,MIKE HUCKABEE ,1
8,117,President,,REP,MITT ROMNEY ,0
8,117,President,,REP,JOHN MCCAIN ,3
8,117,President,,REP,RON PAUL ,0
8,117,President,,REP,RUDY GIULIANI ,0
8,117,President,,REP,Total,4
8,118,President,,DEM,BILL RICHARDSON ,0
8,118,President,,DEM,JOHN EDWARDS ,1
8,118,President,,DEM,DENNIS J. KUCINICH ,0
8,118,President,,DEM,HILLARY CLINTON ,107
8,118,President,,DEM,BARACK OBAMA ,521
8,118,President,,DEM,UNCOMMITTED ,3
8,118,President,,DEM,Write-ins,0
8,118,President,,DEM,Total,632
8,118,President,,REP,MIKE HUCKABEE ,3
8,118,President,,REP,MITT ROMNEY ,2
8,118,President,,REP,JOHN MCCAIN ,3
8,118,President,,REP,RON PAUL ,0
8,118,President,,REP,RUDY GIULIANI ,0
8,118,President,,REP,Total,8
8,119,President,,DEM,BILL RICHARDSON ,1
8,119,President,,DEM,JOHN EDWARDS ,0
8,119,President,,DEM,DENNIS J. KUCINICH ,1
8,119,President,,DEM,HILLARY CLINTON ,95
8,119,President,,DEM,BARACK OBAMA ,461
8,119,President,,DEM,UNCOMMITTED ,0
8,119,President,,DEM,Write-ins,0
8,119,President,,DEM,Total,558
8,119,President,,REP,MIKE HUCKABEE ,3
8,119,President,,REP,MITT ROMNEY ,2
8,119,President,,REP,JOHN MCCAIN ,2
8,119,President,,REP,RON PAUL ,0
8,119,President,,REP,RUDY GIULIANI ,0
8,119,President,,REP,Total,7
8,120,President,,DEM,BILL RICHARDSON ,0
8,120,President,,DEM,JOHN EDWARDS ,1
8,120,President,,DEM,DENNIS J. KUCINICH ,1
8,120,President,,DEM,HILLARY CLINTON ,51
8,120,President,,DEM,BARACK OBAMA ,339
8,120,President,,DEM,UNCOMMITTED ,1
8,120,President,,DEM,Write-ins,1
8,120,President,,DEM,Total,394
8,120,President,,REP,MIKE HUCKABEE ,0
8,120,President,,REP,MITT ROMNEY ,0
8,120,President,,REP,JOHN MCCAIN ,0
8,120,President,,REP,RON PAUL ,0
8,120,President,,REP,RUDY GIULIANI ,0
8,120,President,,REP,Total,0
8,121,President,,DEM,BILL RICHARDSON ,0
8,121,President,,DEM,JOHN EDWARDS ,1
8,121,President,,DEM,DENNIS J. KUCINICH ,0
8,121,President,,DEM,HILLARY CLINTON ,97
8,121,President,,DEM,BARACK OBAMA ,717
8,121,President,,DEM,UNCOMMITTED ,4
8,121,President,,DEM,Write-ins,0
8,121,President,,DEM,Total,819
8,121,President,,REP,MIKE HUCKABEE ,0
8,121,President,,REP,MITT ROMNEY ,2
8,121,President,,REP,JOHN MCCAIN ,1
8,121,President,,REP,RON PAUL ,1
8,121,President,,REP,RUDY GIULIANI ,0
8,121,President,,REP,Total,4
8,122,President,,DEM,BILL RICHARDSON ,0
8,122,President,,DEM,JOHN EDWARDS ,0
8,122,President,,DEM,DENNIS J. KUCINICH ,0
8,122,President,,DEM,HILLARY CLINTON ,54
8,122,President,,DEM,BARACK OBAMA ,440
8,122,President,,DEM,UNCOMMITTED ,2
8,122,President,,DEM,Write-ins,0
8,122,President,,DEM,Total,496
8,122,President,,REP,MIKE HUCKABEE ,1
8,122,President,,REP,MITT ROMNEY ,0
8,122,President,,REP,JOHN MCCAIN ,2
8,122,President,,REP,RON PAUL ,1
8,122,President,,REP,RUDY GIULIANI ,1
8,122,President,,REP,Total,5
8,123,President,,DEM,BILL RICHARDSON ,0
8,123,President,,DEM,JOHN EDWARDS ,2
8,123,President,,DEM,DENNIS J. KUCINICH ,0
8,123,President,,DEM,HILLARY CLINTON ,87
8,123,President,,DEM,BARACK OBAMA ,492
8,123,President,,DEM,UNCOMMITTED ,1
8,123,President,,DEM,Write-ins,2
8,123,President,,DEM,Total,584
8,123,President,,REP,MIKE HUCKABEE ,2
8,123,President,,REP,MITT ROMNEY ,0
8,123,President,,REP,JOHN MCCAIN ,2
8,123,President,,REP,RON PAUL ,0
8,123,President,,REP,RUDY GIULIANI ,0
8,123,President,,REP,Total,4
8,124,President,,DEM,BILL RICHARDSON ,0
8,124,President,,DEM,JOHN EDWARDS ,1
8,124,President,,DEM,DENNIS J. KUCINICH ,1
8,124,President,,DEM,HILLARY CLINTON ,108
8,124,President,,DEM,BARACK OBAMA ,715
8,124,President,,DEM,UNCOMMITTED ,2
8,124,President,,DEM,Write-ins,0
8,124,President,,DEM,Total,827
8,124,President,,REP,MIKE HUCKABEE ,1
8,124,President,,REP,MITT ROMNEY ,0
8,124,President,,REP,JOHN MCCAIN ,2
8,124,President,,REP,RON PAUL ,1
8,124,President,,REP,RUDY GIULIANI ,1
8,124,President,,REP,Total,5
8,125,President,,DEM,BILL RICHARDSON ,3
8,125,President,,DEM,JOHN EDWARDS ,0
8,125,President,,DEM,DENNIS J. KUCINICH ,0
8,125,President,,DEM,HILLARY CLINTON ,155
8,125,President,,DEM,BARACK OBAMA ,913
8,125,President,,DEM,UNCOMMITTED ,1
8,125,President,,DEM,Write-ins,1
8,125,President,,DEM,Total,1073
8,125,President,,REP,MIKE HUCKABEE ,1
8,125,President,,REP,MITT ROMNEY ,0
8,125,President,,REP,JOHN MCCAIN ,2
8,125,President,,REP,RON PAUL ,0
8,125,President,,REP,RUDY GIULIANI ,0
8,125,President,,REP,Total,3
8,126,President,,DEM,BILL RICHARDSON ,2
8,126,President,,DEM,JOHN EDWARDS ,0
8,126,President,,DEM,DENNIS J. KUCINICH ,0
8,126,President,,DEM,HILLARY CLINTON ,120
8,126,President,,DEM,BARACK OBAMA ,766
8,126,President,,DEM,UNCOMMITTED ,0
8,126,President,,DEM,Write-ins,2
8,126,President,,DEM,Total,890
8,126,President,,REP,MIKE HUCKABEE ,3
8,126,President,,REP,MITT ROMNEY ,1
8,126,President,,REP,JOHN MCCAIN ,2
8,126,President,,REP,RON PAUL ,1
8,126,President,,REP,RUDY GIULIANI ,0
8,126,President,,REP,Total,7
6,127,President,,DEM,BILL RICHARDSON ,5
6,127,President,,DEM,JOHN EDWARDS ,5
6,127,President,,DEM,DENNIS J. KUCINICH ,3
6,127,President,,DEM,HILLARY CLINTON ,372
6,127,President,,DEM,BARACK OBAMA ,1090
6,127,President,,DEM,UNCOMMITTED ,4
6,127,President,,DEM,Write-ins,1
6,127,President,,DEM,Total,1480
6,127,President,,REP,MIKE HUCKABEE ,14
6,127,President,,REP,MITT ROMNEY ,6
6,127,President,,REP,JOHN MCCAIN ,46
6,127,President,,REP,RON PAUL ,5
6,127,President,,REP,RUDY GIULIANI ,1
6,127,President,,REP,Total,72
6,128,President,,DEM,BILL RICHARDSON ,1
6,128,President,,DEM,JOHN EDWARDS ,3
6,128,President,,DEM,DENNIS J. KUCINICH ,1
6,128,President,,DEM,HILLARY CLINTON ,163
6,128,President,,DEM,BARACK OBAMA ,475
6,128,President,,DEM,UNCOMMITTED ,5
6,128,President,,DEM,Write-ins,1
6,128,President,,DEM,Total,649
6,128,President,,REP,MIKE HUCKABEE ,8
6,128,President,,REP,MITT ROMNEY ,4
6,128,President,,REP,JOHN MCCAIN ,13
6,128,President,,REP,RON PAUL ,7
6,128,President,,REP,RUDY GIULIANI ,1
6,128,President,,REP,Total,33
2,129,President,,DEM,BILL RICHARDSON ,1
2,129,President,,DEM,JOHN EDWARDS ,2
2,129,President,,DEM,DENNIS J. KUCINICH ,1
2,129,President,,DEM,HILLARY CLINTON ,209
2,129,President,,DEM,BARACK OBAMA ,424
2,129,President,,DEM,UNCOMMITTED ,0
2,129,President,,DEM,Write-ins,0
2,129,President,,DEM,Total,637
2,129,President,,REP,MIKE HUCKABEE ,12
2,129,President,,REP,MITT ROMNEY ,6
2,129,President,,REP,JOHN MCCAIN ,39
2,129,President,,REP,RON PAUL ,6
2,129,President,,REP,RUDY GIULIANI ,2
2,129,President,,REP,Total,65
6,130,President,,DEM,BILL RICHARDSON ,1
6,130,President,,DEM,JOHN EDWARDS ,5
6,130,President,,DEM,DENNIS J. KUCINICH ,2
6,130,President,,DEM,HILLARY CLINTON ,242
6,130,President,,DEM,BARACK OBAMA ,420
6,130,President,,DEM,UNCOMMITTED ,6
6,130,President,,DEM,Write-ins,0
6,130,President,,DEM,Total,676
6,130,President,,REP,MIKE HUCKABEE ,29
6,130,President,,REP,MITT ROMNEY ,14
6,130,President,,REP,JOHN MCCAIN ,111
6,130,President,,REP,RON PAUL ,12
6,130,President,,REP,RUDY GIULIANI ,2
6,130,President,,REP,Total,168
6,131,President,,DEM,BILL RICHARDSON ,1
6,131,President,,DEM,JOHN EDWARDS ,0
6,131,President,,DEM,DENNIS J. KUCINICH ,0
6,131,President,,DEM,HILLARY CLINTON ,35
6,131,President,,DEM,BARACK OBAMA ,108
6,131,President,,DEM,UNCOMMITTED ,0
6,131,President,,DEM,Write-ins,0
6,131,President,,DEM,Total,144
6,131,President,,REP,MIKE HUCKABEE ,4
6,131,President,,REP,MITT ROMNEY ,1
6,131,President,,REP,JOHN MCCAIN ,14
6,131,President,,REP,RON PAUL ,3
6,131,President,,REP,RUDY GIULIANI ,0
6,131,President,,REP,Total,22
7,132,President,,DEM,BILL RICHARDSON ,1
7,132,President,,DEM,JOHN EDWARDS ,2
7,132,President,,DEM,DENNIS J. KUCINICH ,0
7,132,President,,DEM,HILLARY CLINTON ,84
7,132,President,,DEM,BARACK OBAMA ,523
7,132,President,,DEM,UNCOMMITTED ,1
7,132,President,,DEM,Write-ins,0
7,132,President,,DEM,Total,611
7,132,President,,REP,MIKE HUCKABEE ,1
7,132,President,,REP,MITT ROMNEY ,0
7,132,President,,REP,JOHN MCCAIN ,1
7,132,President,,REP,RON PAUL ,0
7,132,President,,REP,RUDY GIULIANI ,0
7,132,President,,REP,Total,2
8,133,President,,DEM,BILL RICHARDSON ,1
8,133,President,,DEM,JOHN EDWARDS ,0
