Precinct 1,"",""
Registration & Turnout ,"","3,373"
SGN - COBB/LaMARCHE ,5 ,1.24%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,22 ,5.47%
IND - NADER/CAMEJO ,1 ,0.25%
"Write In, if any ",0 ,0.00%
Total... ,402 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,387 ,97.48%
REP - MICHAEL ANDREW MONROE ,8 ,2.02%
"Write In, if any ",2 ,0.50%
Total... ,397 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,119 ,23.90%
SGN - LAURENT ROSS ,36 ,7.23%
DEM - KWAME R. BROWN ,320 ,64.26%
IND - A.D. ''TONY'' DOMINGUEZ ,18 ,3.61%
"Write In, if any ",5 ,1.00%
Total... ,498 ,100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,369 ,98.40%
"Write In, if any ",6 ,1.60%
Total... ,375 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,329 ,89.89%
SGN - ADAM EIDINGER ,35 ,9.56%
"Write In, if any ",2 ,0.55%
Total... ,366 ,100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,156 ,42.05%
HUGH ALLEN ,27 ,7.28%
TOM DAWSON ,14 ,3.77%
DAVID A. JORDAN ,8 ,2.16%
LAURA McGIFFERT SLOVER ,18 ,4.85%
VICTOR REINOSO ,116 ,31.27%
MAI ABDUL RAHMAN ,32 ,8.63%
"Write In, if any ",0 ,0.00%
Total... ,371 ,100.00%
Precinct 50,"",""
Registration & Turnout ,"","2,657"
Election Day Turnout ,1685 ,63.42%
Absentee Turnout ,248 ,9.33%
Total... ,"1,933 ",72.75%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1543 ,80.32%
SGN - COBB/LaMARCHE ,5 ,0.26%
LIB - BADNARIK/CAMPAGNA ,8 ,0.42%
SWP - HARRIS/TROWE ,1 ,0.05%
REP - BUSH/CHENEY ,340 ,17.70%
IND - NADER/CAMEJO ,18 ,0.94%
"Write In, if any ",6 ,0.31%
Total... ,"1,921 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1557 ,84.34%
REP - MICHAEL ANDREW MONROE ,279 ,15.11%
"Write In, if any ",10 ,0.54%
Total... ,"1,846 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1193 ,42.33%
SGN - LAURENT ROSS ,210 ,7.45%
DEM - KWAME R. BROWN ,1230 ,43.65%
IND - A.D. ''TONY'' DOMINGUEZ ,167 ,5.93%
"Write In, if any ",18 ,0.64%
Total... ,"2,818 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1187 ,80.20%
SGN - ADAM EIDINGER ,278 ,18.78%
"Write In, if any ",15 ,1.01%
Total... ,"1,480 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,94 ,5.62%
HUGH ALLEN ,472 ,28.21%
TOM DAWSON ,54 ,3.23%
DAVID A. JORDAN ,21 ,1.26%
LAURA McGIFFERT SLOVER ,362 ,21.64%
VICTOR REINOSO ,440 ,26.30%
MAI ABDUL RAHMAN ,219 ,13.09%
"Write In, if any ",11 ,0.66%
Total... ,"1,673 ",100.00%
Precinct 51,"",""
Registration & Turnout ,"","4,299"
Election Day Turnout ,2844 ,66.15%
Absentee Turnout ,526 ,12.24%
Total... ,"3,370 ",78.39%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2686 ,80.11%
SGN - COBB/LaMARCHE ,10 ,0.30%
LIB - BADNARIK/CAMPAGNA ,7 ,0.21%
SWP - HARRIS/TROWE ,1 ,0.03%
REP - BUSH/CHENEY ,616 ,18.37%
IND - NADER/CAMEJO ,26 ,0.78%
"Write In, if any ",7 ,0.21%
Total... ,"3,353 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2739 ,84.46%
REP - MICHAEL ANDREW MONROE ,487 ,15.02%
"Write In, if any ",17 ,0.52%
Total... ,"3,243 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,2292 ,46.00%
SGN - LAURENT ROSS ,301 ,6.04%
DEM - KWAME R. BROWN ,2109 ,42.32%
IND - A.D. ''TONY'' DOMINGUEZ ,262 ,5.26%
"Write In, if any ",19 ,0.38%
Total... ,"4,983 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,2966 ,98.97%
"Write In, if any ",31 ,1.03%
Total... ,"2,997 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,2085 ,83.47%
SGN - ADAM EIDINGER ,381 ,15.25%
"Write In, if any ",32 ,1.28%
Total... ,"2,498 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,110 ,3.64%
HUGH ALLEN ,534 ,17.67%
TOM DAWSON ,95 ,3.14%
DAVID A. JORDAN ,25 ,0.83%
LAURA McGIFFERT SLOVER ,601 ,19.89%
VICTOR REINOSO ,1289 ,42.65%
MAI ABDUL RAHMAN ,355 ,11.75%
"Write In, if any ",13 ,0.43%
Total... ,"3,022 ",100.00%
Precinct 52,"",""
Registration & Turnout ,"","1,712"
Election Day Turnout ,1031 ,60.22%
Absentee Turnout ,189 ,11.04%
Total... ,"1,220 ",71.26%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1008 ,83.03%
SGN - COBB/LaMARCHE ,3 ,0.25%
LIB - BADNARIK/CAMPAGNA ,5 ,0.41%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,185 ,15.24%
IND - NADER/CAMEJO ,8 ,0.66%
"Write In, if any ",5 ,0.41%
Total... ,"1,214 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1017 ,87.07%
REP - MICHAEL ANDREW MONROE ,147 ,12.59%
"Write In, if any ",4 ,0.34%
Total... ,"1,168 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,824 ,45.96%
SGN - LAURENT ROSS ,86 ,4.80%
DEM - KWAME R. BROWN ,781 ,43.56%
IND - A.D. ''TONY'' DOMINGUEZ ,94 ,5.24%
"Write In, if any ",7 ,0.39%
Total... ,"1,792 ",99.94%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1066 ,98.61%
"Write In, if any ",15 ,1.39%
Total... ,"1,081 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,785 ,84.77%
SGN - ADAM EIDINGER ,128 ,13.82%
"Write In, if any ",13 ,1.40%
Total... ,926 ,100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,60 ,5.68%
HUGH ALLEN ,232 ,21.97%
TOM DAWSON ,52 ,4.92%
DAVID A. JORDAN ,14 ,1.33%
LAURA McGIFFERT SLOVER ,227 ,21.50%
VICTOR REINOSO ,368 ,34.85%
MAI ABDUL RAHMAN ,101 ,9.56%
"Write In, if any ",2 ,0.19%
Total... ,"1,056 ",100.00%
Precinct 53,"",""
Registration & Turnout ,"","1,394"
Election Day Turnout ,811 ,58.18%
Absentee Turnout ,70 ,5.02%
Total... ,881 ,63.20%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,794 ,90.95%
SGN - COBB/LaMARCHE ,2 ,0.23%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,2 ,0.23%
REP - BUSH/CHENEY ,69 ,7.90%
IND - NADER/CAMEJO ,5 ,0.57%
"Write In, if any ",1 ,0.11%
Total... ,873 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,791 ,93.28%
REP - MICHAEL ANDREW MONROE ,53 ,6.25%
"Write In, if any ",4 ,0.47%
Total... ,848 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,363 ,30.22%
SGN - LAURENT ROSS ,108 ,8.99%
DEM - KWAME R. BROWN ,667 ,55.54%
IND - A.D. ''TONY'' DOMINGUEZ ,59 ,4.91%
"Write In, if any ",4 ,0.33%
Total... ,"1,201 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,794 ,98.15%
"Write In, if any ",15 ,1.85%
Total... ,809 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,639 ,86.35%
SGN - ADAM EIDINGER ,94 ,12.70%
"Write In, if any ",7 ,0.95%
Total... ,740 ,100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,228 ,29.16%
HUGH ALLEN ,83 ,10.61%
TOM DAWSON ,37 ,4.73%
DAVID A. JORDAN ,8 ,1.02%
LAURA McGIFFERT SLOVER ,168 ,21.48%
VICTOR REINOSO ,199 ,25.45%
MAI ABDUL RAHMAN ,53 ,6.78%
"Write In, if any ",6 ,0.77%
Total... ,782 ,100.00%
Precinct 54,"",""
Registration & Turnout ,"","2,560"
Election Day Turnout ,1384 ,54.06%
Absentee Turnout ,107 ,4.18%
Total... ,"1,491 ",58.24%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1386 ,93.78%
SGN - COBB/LaMARCHE ,3 ,0.20%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,73 ,4.94%
IND - NADER/CAMEJO ,11 ,0.74%
"Write In, if any ",5 ,0.34%
Total... ,"1,478 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1405 ,96.63%
REP - MICHAEL ANDREW MONROE ,45 ,3.09%
"Write In, if any ",4 ,0.28%
Total... ,"1,454 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,564 ,28.95%
SGN - LAURENT ROSS ,116 ,5.95%
DEM - KWAME R. BROWN ,1182 ,60.68%
IND - A.D. ''TONY'' DOMINGUEZ ,81 ,4.16%
"Write In, if any ",5 ,0.26%
Total... ,"1,948 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1385 ,98.93%
"Write In, if any ",15 ,1.07%
Total... ,"1,400 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1149 ,89.21%
SGN - ADAM EIDINGER ,133 ,10.33%
"Write In, if any ",6 ,0.47%
Total... ,"1,288 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,579 ,42.20%
HUGH ALLEN ,141 ,10.28%
TOM DAWSON ,65 ,4.74%
DAVID A. JORDAN ,14 ,1.02%
LAURA McGIFFERT SLOVER ,68 ,4.96%
VICTOR REINOSO ,380 ,27.70%
MAI ABDUL RAHMAN ,118 ,8.60%
"Write In, if any ",7 ,0.51%
Total... ,"1,372 ",100.00%
Precinct 55,"",""
Registration & Turnout ,"","2,863"
Election Day Turnout ,1366 ,47.71%
Absentee Turnout ,90 ,3.14%
Total... ,"1,456 ",50.86%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1340 ,93.71%
SGN - COBB/LaMARCHE ,1 ,0.07%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.07%
REP - BUSH/CHENEY ,81 ,5.66%
IND - NADER/CAMEJO ,7 ,0.49%
"Write In, if any ",0 ,0.00%
Total... ,"1,430 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1353 ,95.89%
REP - MICHAEL ANDREW MONROE ,55 ,3.90%
"Write In, if any ",3 ,0.21%
Total... ,"1,411 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,477 ,25.56%
SGN - LAURENT ROSS ,97 ,5.20%
DEM - KWAME R. BROWN ,1183 ,63.40%
IND - A.D. ''TONY'' DOMINGUEZ ,104 ,5.57%
"Write In, if any ",5 ,0.27%
Total... ,"1,866 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1343 ,99.04%
"Write In, if any ",13 ,0.96%
Total... ,"1,356 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1221 ,93.42%
SGN - ADAM EIDINGER ,84 ,6.43%
"Write In, if any ",2 ,0.15%
Total... ,"1,307 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,757 ,55.58%
HUGH ALLEN ,112 ,8.22%
TOM DAWSON ,65 ,4.77%
DAVID A. JORDAN ,35 ,2.57%
LAURA McGIFFERT SLOVER ,53 ,3.89%
VICTOR REINOSO ,253 ,18.58%
MAI ABDUL RAHMAN ,82 ,6.02%
"Write In, if any ",5 ,0.37%
Total... ,"1,362 ",100.00%
Precinct 56,"",""
Registration & Turnout ,"","3,550"
Election Day Turnout ,1787 ,50.34%
Absentee Turnout ,117 ,3.30%
Total... ,"1,904 ",53.63%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1755 ,94.51%
SGN - COBB/LaMARCHE ,7 ,0.38%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,82 ,4.42%
IND - NADER/CAMEJO ,12 ,0.65%
"Write In, if any ",1 ,0.05%
Total... ,"1,857 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1784 ,97.33%
REP - MICHAEL ANDREW MONROE ,46 ,2.51%
"Write In, if any ",3 ,0.16%
Total... ,"1,833 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,543 ,23.40%
SGN - LAURENT ROSS ,138 ,5.95%
DEM - KWAME R. BROWN ,1527 ,65.79%
IND - A.D. ''TONY'' DOMINGUEZ ,109 ,4.70%
"Write In, if any ",4 ,0.17%
Total... ,"2,321 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1743 ,98.92%
"Write In, if any ",19 ,1.08%
Total... ,"1,762 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1569 ,92.35%
SGN - ADAM EIDINGER ,127 ,7.47%
"Write In, if any ",3 ,0.18%
Total... ,"1,699 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,1120 ,63.17%
HUGH ALLEN ,81 ,4.57%
TOM DAWSON ,50 ,2.82%
DAVID A. JORDAN ,23 ,1.30%
LAURA McGIFFERT SLOVER ,81 ,4.57%
VICTOR REINOSO ,207 ,11.68%
MAI ABDUL RAHMAN ,201 ,11.34%
"Write In, if any ",10 ,0.56%
Total... ,"1,773 ",100.00%
Precinct 57,"",""
Registration & Turnout ,"","2,912"
Election Day Turnout ,1622 ,55.70%
Absentee Turnout ,112 ,3.85%
Total... ,"1,734 ",59.55%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1626 ,94.87%
SGN - COBB/LaMARCHE ,3 ,0.18%
LIB - BADNARIK/CAMPAGNA ,1 ,0.06%
SWP - HARRIS/TROWE ,3 ,0.18%
REP - BUSH/CHENEY ,73 ,4.26%
IND - NADER/CAMEJO ,5 ,0.29%
"Write In, if any ",3 ,0.18%
Total... ,"1,714 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1653 ,97.81%
REP - MICHAEL ANDREW MONROE ,35 ,2.07%
"Write In, if any ",2 ,0.12%
Total... ,"1,690 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,569 ,25.70%
SGN - LAURENT ROSS ,127 ,5.74%
DEM - KWAME R. BROWN ,1395 ,63.01%
IND - A.D. ''TONY'' DOMINGUEZ ,114 ,5.15%
"Write In, if any ",9 ,0.41%
Total... ,"2,214 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1616 ,99.26%
"Write In, if any ",12 ,0.74%
Total... ,"1,628 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1446 ,90.89%
SGN - ADAM EIDINGER ,135 ,8.49%
"Write In, if any ",10 ,0.63%
Total... ,"1,591 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,943 ,58.97%
HUGH ALLEN ,91 ,5.69%
TOM DAWSON ,63 ,3.94%
DAVID A. JORDAN ,39 ,2.44%
LAURA McGIFFERT SLOVER ,79 ,4.94%
VICTOR REINOSO ,302 ,18.89%
MAI ABDUL RAHMAN ,74 ,4.63%
"Write In, if any ",8 ,0.50%
Total... ,"1,599 ",100.00%
Precinct 58,"",""
Registration & Turnout ,"","2,561"
Election Day Turnout ,1380 ,53.89%
Absentee Turnout ,109 ,4.26%
Total... ,"1,489 ",58.14%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1413 ,95.73%
SGN - COBB/LaMARCHE ,3 ,0.20%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.07%
REP - BUSH/CHENEY ,53 ,3.59%
IND - NADER/CAMEJO ,4 ,0.27%
"Write In, if any ",2 ,0.14%
Total... ,"1,476 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1409 ,97.71%
REP - MICHAEL ANDREW MONROE ,28 ,1.94%
"Write In, if any ",5 ,0.35%
Total... ,"1,442 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,527 ,27.31%
SGN - LAURENT ROSS ,80 ,4.15%
DEM - KWAME R. BROWN ,1246 ,64.56%
IND - A.D. ''TONY'' DOMINGUEZ ,74 ,3.83%
"Write In, if any ",3 ,0.16%
Total... ,"1,930 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1384 ,99.07%
"Write In, if any ",13 ,0.93%
Total... ,"1,397 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1234 ,93.63%
SGN - ADAM EIDINGER ,75 ,5.69%
"Write In, if any ",9 ,0.68%
Total... ,"1,318 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,641 ,46.58%
HUGH ALLEN ,264 ,19.19%
TOM DAWSON ,77 ,5.60%
DAVID A. JORDAN ,16 ,1.16%
LAURA McGIFFERT SLOVER ,46 ,3.34%
VICTOR REINOSO ,249 ,18.10%
MAI ABDUL RAHMAN ,80 ,5.81%
"Write In, if any ",3 ,0.22%
Total... ,"1,376 ",100.00%
Precinct 59,"",""
Registration & Turnout ,"","2,969"
Election Day Turnout ,1686 ,56.79%
Absentee Turnout ,140 ,4.72%
Total... ,"1,826 ",61.50%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1721 ,95.08%
SGN - COBB/LaMARCHE ,4 ,0.22%
LIB - BADNARIK/CAMPAGNA ,1 ,0.06%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,71 ,3.92%
IND - NADER/CAMEJO ,11 ,0.61%
"Write In, if any ",1 ,0.06%
Total... ,"1,810 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1744 ,97.43%
REP - MICHAEL ANDREW MONROE ,39 ,2.18%
"Write In, if any ",7 ,0.39%
Total... ,"1,790 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,694 ,28.11%
SGN - LAURENT ROSS ,152 ,6.16%
DEM - KWAME R. BROWN ,1497 ,60.63%
IND - A.D. ''TONY'' DOMINGUEZ ,119 ,4.82%
"Write In, if any ",7 ,0.28%
Total... ,"2,469 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1727 ,99.03%
"Write In, if any ",17 ,0.97%
Total... ,"1,744 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1489 ,91.46%
SGN - ADAM EIDINGER ,132 ,8.11%
"Write In, if any ",7 ,0.43%
Total... ,"1,628 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,787 ,46.05%
HUGH ALLEN ,97 ,5.68%
TOM DAWSON ,88 ,5.15%
DAVID A. JORDAN ,22 ,1.29%
LAURA McGIFFERT SLOVER ,68 ,3.98%
VICTOR REINOSO ,490 ,28.67%
MAI ABDUL RAHMAN ,153 ,8.95%
"Write In, if any ",4 ,0.23%
Total... ,"1,709 ",100.00%
Precinct 60,"",""
Registration & Turnout ,"","2,284"
Election Day Turnout ,1250 ,54.73%
Absentee Turnout ,68 ,2.98%
Total... ,"1,318 ",57.71%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1224 ,93.79%
SGN - COBB/LaMARCHE ,1 ,0.08%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,71 ,5.44%
IND - NADER/CAMEJO ,8 ,0.61%
"Write In, if any ",1 ,0.08%
Total... ,"1,305 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1214 ,95.74%
REP - MICHAEL ANDREW MONROE ,51 ,4.02%
"Write In, if any ",3 ,0.24%
Total... ,"1,268 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,466 ,28.28%
SGN - LAURENT ROSS ,71 ,4.31%
DEM - KWAME R. BROWN ,1032 ,62.62%
IND - A.D. ''TONY'' DOMINGUEZ ,71 ,4.31%
"Write In, if any ",7 ,0.42%
Total... ,"1,647 ",99.94%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1184 ,98.83%
"Write In, if any ",14 ,1.17%
Total... ,"1,198 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1019 ,91.23%
SGN - ADAM EIDINGER ,94 ,8.42%
"Write In, if any ",4 ,0.36%
Total... ,"1,117 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,585 ,51.18%
HUGH ALLEN ,105 ,9.19%
TOM DAWSON ,65 ,5.69%
DAVID A. JORDAN ,25 ,2.19%
LAURA McGIFFERT SLOVER ,82 ,7.17%
VICTOR REINOSO ,185 ,16.19%
MAI ABDUL RAHMAN ,92 ,8.05%
"Write In, if any ",4 ,0.35%
Total... ,"1,143 ",100.00%
Precinct 61,"",""
Registration & Turnout ,"","1,832"
Election Day Turnout ,1151 ,62.83%
Absentee Turnout ,98 ,5.35%
Total... ,"1,249 ",68.18%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1157 ,93.91%
SGN - COBB/LaMARCHE ,4 ,0.32%
LIB - BADNARIK/CAMPAGNA ,1 ,0.08%
SWP - HARRIS/TROWE ,1 ,0.08%
REP - BUSH/CHENEY ,66 ,5.36%
IND - NADER/CAMEJO ,3 ,0.24%
"Write In, if any ",0 ,0.00%
Total... ,"1,232 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1154 ,96.01%
REP - MICHAEL ANDREW MONROE ,43 ,3.58%
"Write In, if any ",5 ,0.42%
Total... ,"1,202 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,515 ,30.49%
SGN - LAURENT ROSS ,73 ,4.32%
DEM - KWAME R. BROWN ,1025 ,60.69%
IND - A.D. ''TONY'' DOMINGUEZ ,68 ,4.03%
"Write In, if any ",8 ,0.47%
Total... ,"1,689 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1160 ,98.72%
"Write In, if any ",15 ,1.28%
Total... ,"1,175 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1018 ,92.29%
SGN - ADAM EIDINGER ,73 ,6.62%
"Write In, if any ",12 ,1.09%
Total... ,"1,103 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,601 ,51.41%
HUGH ALLEN ,63 ,5.39%
TOM DAWSON ,74 ,6.33%
DAVID A. JORDAN ,24 ,2.05%
LAURA McGIFFERT SLOVER ,96 ,8.21%
VICTOR REINOSO ,239 ,20.44%
MAI ABDUL RAHMAN ,69 ,5.90%
"Write In, if any ",3 ,0.26%
Total... ,"1,169 ",100.00%
Precinct 62,"",""
Registration & Turnout ,"","3,665"
Election Day Turnout ,2388 ,65.16%
Absentee Turnout ,231 ,6.30%
Total... ,"2,619 ",71.46%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2439 ,93.56%
SGN - COBB/LaMARCHE ,2 ,0.08%
LIB - BADNARIK/CAMPAGNA ,4 ,0.15%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,151 ,5.79%
IND - NADER/CAMEJO ,7 ,0.27%
"Write In, if any ",4 ,0.15%
Total... ,"2,607 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2416 ,94.67%
REP - MICHAEL ANDREW MONROE ,121 ,4.74%
"Write In, if any ",15 ,0.59%
Total... ,"2,552 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1365 ,34.45%
SGN - LAURENT ROSS ,225 ,5.68%
DEM - KWAME R. BROWN ,2186 ,55.17%
IND - A.D. ''TONY'' DOMINGUEZ ,166 ,4.19%
"Write In, if any ",20 ,0.50%
Total... ,"3,962 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,2460 ,99.03%
